group_id,employee_id,first_name,last_name,date_of_birth,gender,relationship,zip_code,state,source_file,row_issues
G001,E0034,Pamela,Yu,2003-08-09,F,child,11001,PR,broker_a_census.csv,
G001,E0035,Robert,Silva,1988-02-14,M,employee,69023,MD,broker_a_census.csv,
G001,E0036,James,Moran,2001-09-05,F,employee,31786,KS,broker_a_census.csv,
G001,E0036,Emily,Moran,1978-07-04,M,spouse,31786,KS,broker_a_census.csv,
G001,E0037,Albert,Howell,2001-09-21,M,employee,74293,CT,broker_a_census.csv,
G001,E0037,Jason,Howell,2002-05-23,F,child,74293,CT,broker_a_census.csv,
G001,E0038,John,Mitchell,1964-06-11,F,employee,57934,MP,broker_a_census.csv,
G001,E0039,Kevin,Riggs,1984-11-04,F,employee,86218,NC,broker_a_census.csv,
G001,E0040,Lisa,Evans,1961-10-27,M,employee,87452,CT,broker_a_census.csv,
G001,E0040,Dennis,Evans,2001-11-10,F,spouse,87452,CT,broker_a_census.csv,
G001,E0040,Joseph,Evans,2014-11-14,F,child,87452,CT,broker_a_census.csv,
G001,E0040,Cynthia,Evans,2005-10-12,M,child,87452,CT,broker_a_census.csv,
